"dataset","dataset_label","replicate","scenario","method","taxon","p_value","native_p_value","available","status","reason"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Akkermansia",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Alistipes",0.224077320845703,0.224077320845703,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Anaerobutyricum",0.578481581331403,0.578481581331403,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Anaerostipes",0.0805078416153338,0.0805078416153338,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Bacteroides",0.632658058345218,0.632658058345218,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Barnesiella",0.347331895434524,0.347331895434524,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Bifidobacterium",0.490085179172659,0.490085179172659,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Blautia",0.527736540232676,0.527736540232676,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Butyrivibrio",0.397595762705133,0.397595762705133,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Clostridium",0.480199728076346,0.480199728076346,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Collinsella",0.821164932967398,0.821164932967398,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Coprococcus",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Dialister",0.0492681203789735,0.0492681203789735,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Dorea",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Eubacterium",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Faecalibacterium",0.862104938810959,0.862104938810959,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Firmicutes_unclassified",0.187116601252731,0.187116601252731,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Fusicatenibacter",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Lachnospira",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Lachnospiraceae_unclassified",0.858903736421178,0.858903736421178,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Mediterraneibacter",0.610197855521115,0.610197855521115,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Methanobrevibacter",0.250927857326242,0.250927857326242,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Odoribacter",0.94129570162789,0.94129570162789,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Oscillibacter",0.250580251407142,0.250580251407142,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Parabacteroides",0.151040911138417,0.151040911138417,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Phocaeicola",0.544653769901823,0.544653769901823,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Prevotella",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Roseburia",0.727025604813853,0.727025604813853,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Ruminococcaceae_unclassified",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","DASRA","Ruminococcus",0.872160394429327,0.872160394429327,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Akkermansia",0.98560397389944,0.98560397389944,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Alistipes",0.877553632353051,0.877553632353051,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Anaerobutyricum",0.686958427880634,0.686958427880634,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Anaerostipes",0.0766037072827814,0.0766037072827814,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Bacteroides",0.402361706468969,0.402361706468969,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Barnesiella",0.741360109005683,0.741360109005683,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Bifidobacterium",0.890497015178104,0.890497015178104,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Blautia",0.117946717851348,0.117946717851348,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Butyrivibrio",0.289504429499871,0.289504429499871,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Clostridium",0.332480361867321,0.332480361867321,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Collinsella",0.19632409736188,0.19632409736188,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Coprococcus",0.891261802534132,0.891261802534132,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Dialister",0.169197468133278,0.169197468133278,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Dorea",0.279162080623317,0.279162080623317,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Eubacterium",0.677130689968769,0.677130689968769,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Faecalibacterium",0.502733475396964,0.502733475396964,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Firmicutes_unclassified",0.280692407916493,0.280692407916493,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Fusicatenibacter",0.291124474408869,0.291124474408869,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Lachnospira",0.73470895923653,0.73470895923653,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Lachnospiraceae_unclassified",0.633664256078169,0.633664256078169,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Mediterraneibacter",0.978617109923856,0.978617109923856,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Methanobrevibacter",0.199206336618331,0.199206336618331,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Odoribacter",0.882015462565401,0.882015462565401,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Oscillibacter",0.171031523058398,0.171031523058398,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Parabacteroides",0.161259710140212,0.161259710140212,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Phocaeicola",0.240123070153584,0.240123070153584,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Prevotella",0.753145874629955,0.753145874629955,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Roseburia",0.861314164955391,0.861314164955391,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Ruminococcaceae_unclassified",0.474915611639341,0.474915611639341,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","ZINQ","Ruminococcus",0.807536644172648,0.807536644172648,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Akkermansia",0.785061352090685,0.785061352090685,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Alistipes",0.15983216624732,0.15983216624732,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Anaerobutyricum",0.726143537400714,0.726143537400714,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Anaerostipes",0.16879790659659,0.16879790659659,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Bacteroides",0.59734014978561,0.59734014978561,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Barnesiella",0.310388544734161,0.310388544734161,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Bifidobacterium",0.510462029935159,0.510462029935159,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Blautia",0.61044450936831,0.61044450936831,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Butyrivibrio",0.483499420885966,0.483499420885966,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Clostridium",0.53199174243111,0.53199174243111,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Collinsella",0.492082735806902,0.492082735806902,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Coprococcus",0.997332553499101,0.997332553499101,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Dialister",0.0393984857777092,0.0393984857777092,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Dorea",0.837170339551755,0.837170339551755,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Eubacterium",0.809656894719852,0.809656894719852,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Faecalibacterium",1,0.594365510865771,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Firmicutes_unclassified",0.229610972272867,0.229610972272867,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Fusicatenibacter",0.837672499465797,0.837672499465797,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Lachnospira",0.79713603067338,0.79713603067338,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Lachnospiraceae_unclassified",0.731533514849766,0.731533514849766,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Mediterraneibacter",0.392890716301844,0.392890716301844,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Methanobrevibacter",0.230241620452442,0.230241620452442,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Odoribacter",0.827407708872726,0.827407708872726,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Oscillibacter",0.132133838291844,0.132133838291844,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Parabacteroides",0.0750333508950542,0.0750333508950542,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Phocaeicola",1,0.282070024865569,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Prevotella",0.812456535328622,0.812456535328622,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Roseburia",0.712295090165332,0.712295090165332,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Ruminococcaceae_unclassified",0.587606008683335,0.587606008683335,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"balanced","MaAsLin3","Ruminococcus",0.743932042812352,0.743932042812352,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Akkermansia",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Alistipes",0.16340699723988,0.16340699723988,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Anaerobutyricum",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Anaerostipes",0.242998702191941,0.242998702191941,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Bacteroides",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Barnesiella",0.305806702805303,0.305806702805303,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Bifidobacterium",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Blautia",0.370902447515318,0.370902447515318,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Butyrivibrio",0.318942983835716,0.318942983835716,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Clostridium",0.388250804574621,0.388250804574621,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Collinsella",0.297750679942015,0.297750679942015,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Coprococcus",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Dialister",0.729845829683357,0.729845829683357,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Dorea",0.829009329627193,0.829009329627193,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Eubacterium",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Faecalibacterium",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Firmicutes_unclassified",0.129583685117113,0.129583685117113,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Fusicatenibacter",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Lachnospira",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Lachnospiraceae_unclassified",0.860127201501568,0.860127201501568,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Mediterraneibacter",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Methanobrevibacter",0.07788763006806,0.07788763006806,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Odoribacter",0.609709292415378,0.609709292415378,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Oscillibacter",0.565772351364527,0.565772351364527,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Parabacteroides",0.29261837086212,0.29261837086212,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Phocaeicola",0.839515812200643,0.839515812200643,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Prevotella",0.889690354725428,0.889690354725428,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Roseburia",0.669665734593962,0.669665734593962,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Ruminococcaceae_unclassified",0.99627675208745,0.99627675208745,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","DASRA","Ruminococcus",0.346805769037796,0.346805769037796,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Akkermansia",0.877329850974466,0.877329850974466,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Alistipes",0.78053335880287,0.78053335880287,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Anaerobutyricum",0.048521317721596,0.048521317721596,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Anaerostipes",0.224157754907832,0.224157754907832,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Bacteroides",0.23224679379799,0.23224679379799,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Barnesiella",0.477403019925329,0.477403019925329,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Bifidobacterium",0.754899861988573,0.754899861988573,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Blautia",0.0588912048639105,0.0588912048639105,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Butyrivibrio",0.664544737328502,0.664544737328502,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Clostridium",0.0897420986770584,0.0897420986770584,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Collinsella",0.132858837597007,0.132858837597007,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Coprococcus",0.660172560215557,0.660172560215557,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Dialister",0.572210623202748,0.572210623202748,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Dorea",0.0946917221680367,0.0946917221680367,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Eubacterium",0.385876275618524,0.385876275618524,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Faecalibacterium",0.630684952651359,0.630684952651359,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Firmicutes_unclassified",0.827981020594757,0.827981020594757,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Fusicatenibacter",0.91161293414879,0.91161293414879,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Lachnospira",0.913198091871364,0.913198091871364,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Lachnospiraceae_unclassified",0.39224046147189,0.39224046147189,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Mediterraneibacter",0.487834432714973,0.487834432714973,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Methanobrevibacter",0.875952330519454,0.875952330519454,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Odoribacter",0.877238466428353,0.877238466428353,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Oscillibacter",0.511420424912424,0.511420424912424,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Parabacteroides",0.957078424950852,0.957078424950852,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Phocaeicola",0.918726017199487,0.918726017199487,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Prevotella",0.470669543925036,0.470669543925036,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Roseburia",0.870358589980858,0.870358589980858,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Ruminococcaceae_unclassified",0.0167017013759916,0.0167017013759916,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","ZINQ","Ruminococcus",0.836415441933135,0.836415441933135,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Akkermansia",0.989048451915524,0.989048451915524,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Alistipes",0.512873688099314,0.512873688099314,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Anaerobutyricum",0.154146444011042,0.154146444011042,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Anaerostipes",0.512235025553525,0.512235025553525,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Bacteroides",1,0.377420009058217,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Barnesiella",0.191683154405449,0.191683154405449,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Bifidobacterium",0.518698965347101,0.518698965347101,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Blautia",0.311175913263114,0.311175913263114,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Butyrivibrio",0.599752718816598,0.599752718816598,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Clostridium",0.0785801677557006,0.0785801677557006,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Collinsella",0.238004133324077,0.238004133324077,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Coprococcus",0.981959728833577,0.981959728833577,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Dialister",0.694268526911171,0.694268526911171,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Dorea",0.498050305552355,0.498050305552355,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Eubacterium",0.919648666454186,0.919648666454186,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Faecalibacterium",1,0.59965862928344,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Firmicutes_unclassified",0.898542203700473,0.898542203700473,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Fusicatenibacter",0.985285426310105,0.985285426310105,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Lachnospira",0.936290411036859,0.936290411036859,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Lachnospiraceae_unclassified",0.1350884557528,0.1350884557528,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Mediterraneibacter",0.82892623584312,0.82892623584312,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Methanobrevibacter",0.898886325425939,0.898886325425939,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Odoribacter",0.677112315755614,0.677112315755614,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Oscillibacter",0.27292509558697,0.27292509558697,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Parabacteroides",0.58998714739592,0.58998714739592,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Phocaeicola",1,0.59194065556593,FALSE,"unavailable","both component models and a consistent joint p-value were required"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Prevotella",0.248299408136957,0.248299408136957,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Roseburia",0.580121363550931,0.580121363550931,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Ruminococcaceae_unclassified",0.0238172372613821,0.0238172372613821,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",1,"fourfold","MaAsLin3","Ruminococcus",0.953027230758603,0.953027230758603,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Akkermansia",0.461497971806293,0.461497971806293,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Alistipes",0.242618117526532,0.242618117526532,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Anaerobutyricum",0.750423147320006,0.750423147320006,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Anaerostipes",0.325258032847483,0.325258032847483,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Bacteroides",0.224892022624766,0.224892022624766,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Barnesiella",0.295104604579741,0.295104604579741,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Bifidobacterium",0.239321800314677,0.239321800314677,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Blautia",0.468122121494956,0.468122121494956,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Butyrivibrio",0.45572325222556,0.45572325222556,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Clostridium",0.0231978318324069,0.0231978318324069,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Collinsella",0.903845162545541,0.903845162545541,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Coprococcus",0.152676191985314,0.152676191985314,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Dialister",0.296874695597115,0.296874695597115,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Dorea",0.546952326983803,0.546952326983803,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Eubacterium",0.624419089120517,0.624419089120517,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Faecalibacterium",0.4374385127278,0.4374385127278,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Firmicutes_unclassified",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Fusicatenibacter",0.896545194070955,0.896545194070955,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Lachnospira",0.035727439395611,0.035727439395611,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Lachnospiraceae_unclassified",0.878101657365968,0.878101657365968,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Mediterraneibacter",0.652713970347435,0.652713970347435,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Methanobrevibacter",0.252585879835717,0.252585879835717,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Odoribacter",1,1,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Oscillibacter",0.357626423578294,0.357626423578294,TRUE,"available","available"
"ZeeviD_2015","Zeevi 2015",2,"balanced","DASRA","Parabacteroides",0.32236678551301,0.32236678551301,TRUE,"available","available"
