"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","sacat_retained","sacat_formed_structural_absence","sacat_regular_structural_absence","sacat_nonregular_structural_absence","sacat_formed_relative_abundance","sacat_formed_omnibus","sacat_both_components_formed","sacat_reason_structural_absence","sacat_reason_relative_abundance","sacat_warning_structural_absence","sacat_warning_relative_abundance"
"SchirmerM_2016","Schirmer 2016",1,"balanced","Agathobaculum",0.93,0.95,0.91,95,91,3762,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Akkermansia",0.465,0.43,0.5,43,50,8156,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Alistipes",0.945,0.94,0.95,94,95,27524,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Anaerobutyricum",0.99,1,0.98,100,98,20014,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Anaerostipes",0.995,1,0.99,100,99,22169,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Bacteroides",1,1,1,100,100,55141,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Barnesiella",0.81,0.8,0.82,80,82,6035,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Bifidobacterium",0.98,0.98,0.98,98,98,126334,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Blautia",1,1,1,100,100,20793,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Collinsella",0.93,0.94,0.92,94,92,40548,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Coprococcus",0.97,0.95,0.99,95,99,31118,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Dialister",0.535,0.49,0.58,49,58,4797,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Dorea",0.99,0.99,0.99,99,99,32136,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Eubacterium",0.98,0.97,0.99,97,99,16281,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Faecalibacterium",0.985,0.98,0.99,98,99,58649,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Firmicutes_unclassified",0.86,0.87,0.85,87,85,4813,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Fusicatenibacter",0.98,0.98,0.98,98,98,32140,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Lachnospira",0.875,0.86,0.89,86,89,10756,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Lachnospiraceae_unclassified",0.94,0.96,0.92,96,92,46695,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Mediterraneibacter",0.985,0.98,0.99,98,99,25853,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Methanobrevibacter",0.385,0.35,0.42,35,42,7542,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Oscillibacter",0.83,0.81,0.85,81,85,4359,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Parabacteroides",0.955,0.94,0.97,94,97,13263,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Phascolarctobacterium",0.485,0.53,0.44,53,44,3748,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Phocaeicola",1,1,1,100,100,43260,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Prevotella",0.485,0.41,0.56,41,56,51805,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Roseburia",0.985,0.99,0.98,99,98,46385,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Ruminococcaceae_unclassified",0.72,0.72,0.72,72,72,6845,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Ruminococcus",0.89,0.91,0.87,91,87,71623,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"balanced","Streptococcus",0.92,0.92,0.92,92,92,6827,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Agathobaculum",0.89,0.87,0.91,87,91,3251,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Akkermansia",0.465,0.39,0.54,39,54,7754,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Alistipes",0.96,0.95,0.97,95,97,25064,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Anaerobutyricum",0.99,1,0.98,100,98,17195,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Anaerostipes",0.99,0.99,0.99,99,99,20319,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Bacteroides",1,1,1,100,100,48082,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Barnesiella",0.795,0.76,0.83,76,83,5898,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Bifidobacterium",0.98,0.98,0.98,98,98,105961,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Blautia",0.995,0.99,1,99,100,21540,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"structural_absence_boundary_at_zero","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Collinsella",0.92,0.9,0.94,90,94,32687,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Coprococcus",0.97,0.95,0.99,95,99,29126,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Dialister",0.52,0.47,0.57,47,57,5482,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Dorea",0.99,0.99,0.99,99,99,27977,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Eubacterium",0.965,0.93,1,93,100,13984,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Faecalibacterium",0.985,0.98,0.99,98,99,52042,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Firmicutes_unclassified",0.83,0.78,0.88,78,88,4544,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Fusicatenibacter",0.97,0.97,0.97,97,97,27688,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Lachnospira",0.84,0.79,0.89,79,89,10223,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Lachnospiraceae_unclassified",0.94,0.95,0.93,95,93,35525,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Mediterraneibacter",0.975,0.96,0.99,96,99,22652,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Methanobrevibacter",0.37,0.33,0.41,33,41,7835,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Oscillibacter",0.79,0.71,0.87,71,87,4416,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Parabacteroides",0.955,0.95,0.96,95,96,12017,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Phascolarctobacterium",0.47,0.49,0.45,49,45,3133,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Phocaeicola",1,1,1,100,100,37650,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Prevotella",0.515,0.42,0.61,42,61,50759,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Roseburia",0.97,0.95,0.99,95,99,38459,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Ruminococcaceae_unclassified",0.665,0.57,0.76,57,76,4875,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Ruminococcus",0.89,0.9,0.88,90,88,60679,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",1,"fourfold","Streptococcus",0.875,0.81,0.94,81,94,5694,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Agathobaculum",0.93,0.94,0.92,94,92,4193,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Akkermansia",0.465,0.44,0.49,44,49,7237,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Alistipes",0.955,0.94,0.97,94,97,27412,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Anaerobutyricum",0.99,0.99,0.99,99,99,19996,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Anaerostipes",0.995,0.99,1,99,100,22870,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Bacteroides",1,1,1,100,100,53659,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Barnesiella",0.81,0.78,0.84,78,84,6515,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Bifidobacterium",0.975,0.97,0.98,97,98,124461,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Blautia",1,1,1,100,100,20110,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Collinsella",0.94,0.95,0.93,95,93,39084,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Coprococcus",0.975,0.96,0.99,96,99,31693,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Dialister",0.525,0.54,0.51,54,51,4735,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Dorea",0.99,1,0.98,100,98,31540,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Eubacterium",0.99,0.98,1,98,100,15579,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Faecalibacterium",0.985,0.98,0.99,98,99,56166,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Firmicutes_unclassified",0.84,0.83,0.85,83,85,4799,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Fusicatenibacter",0.965,0.96,0.97,96,97,31275,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Lachnospira",0.85,0.83,0.87,83,87,9796,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Lachnospiraceae_unclassified",0.955,0.97,0.94,97,94,44618,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Mediterraneibacter",0.995,1,0.99,100,99,26052,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Methanobrevibacter",0.375,0.37,0.38,37,38,7986,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Oscillibacter",0.84,0.84,0.84,84,84,4343,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Parabacteroides",0.955,0.95,0.96,95,96,12754,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Phascolarctobacterium",0.485,0.46,0.51,46,51,3896,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Phocaeicola",1,1,1,100,100,41619,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Prevotella",0.49,0.51,0.47,51,47,55314,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Roseburia",0.99,0.99,0.99,99,99,42886,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Ruminococcaceae_unclassified",0.73,0.69,0.77,69,77,5345,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Ruminococcus",0.895,0.91,0.88,91,88,67940,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"balanced","Streptococcus",0.91,0.92,0.9,92,90,6844,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Agathobaculum",0.87,0.8,0.94,80,94,3473,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Akkermansia",0.445,0.38,0.51,38,51,11297,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Alistipes",0.955,0.93,0.98,93,98,26524,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Anaerobutyricum",0.985,0.98,0.99,98,99,18539,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Anaerostipes",0.99,0.98,1,98,100,22214,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Bacteroides",0.995,0.99,1,99,100,53865,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Barnesiella",0.795,0.74,0.85,74,85,6372,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Bifidobacterium",0.975,0.97,0.98,97,98,117995,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Blautia",0.99,0.98,1,98,100,20959,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Collinsella",0.93,0.92,0.94,92,94,33537,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Coprococcus",0.97,0.95,0.99,95,99,29432,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Dialister",0.505,0.48,0.53,48,53,3831,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Dorea",0.99,1,0.98,100,98,28963,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Eubacterium",0.97,0.95,0.99,95,99,13996,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Faecalibacterium",0.985,0.98,0.99,98,99,56404,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Firmicutes_unclassified",0.83,0.76,0.9,76,90,4872,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Fusicatenibacter",0.975,0.96,0.99,96,99,32388,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Lachnospira",0.865,0.83,0.9,83,90,8482,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Lachnospiraceae_unclassified",0.915,0.9,0.93,90,93,40111,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Mediterraneibacter",0.985,0.98,0.99,98,99,22379,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Methanobrevibacter",0.36,0.34,0.38,34,38,6277,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Oscillibacter",0.78,0.75,0.81,75,81,4064,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Parabacteroides",0.95,0.94,0.96,94,96,12649,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Phascolarctobacterium",0.465,0.42,0.51,42,51,3565,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Phocaeicola",1,1,1,100,100,41028,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Prevotella",0.505,0.53,0.48,53,48,47071,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Roseburia",0.99,0.98,1,98,100,42729,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Ruminococcaceae_unclassified",0.655,0.53,0.78,53,78,5766,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Ruminococcus",0.895,0.9,0.89,90,89,66485,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",2,"fourfold","Streptococcus",0.89,0.87,0.91,87,91,6965,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Agathobaculum",0.9,0.9,0.9,90,90,3819,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Akkermansia",0.475,0.55,0.4,55,40,9979,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Alistipes",0.95,0.96,0.94,96,94,28711,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Anaerobutyricum",0.99,0.99,0.99,99,99,20687,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Anaerostipes",0.995,1,0.99,100,99,25158,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Bacteroides",0.995,1,0.99,100,99,58020,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Barnesiella",0.795,0.8,0.79,80,79,6677,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Bifidobacterium",0.98,0.99,0.97,99,97,121391,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Blautia",1,1,1,100,100,22598,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"no_observed_zeros","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Collinsella",0.925,0.95,0.9,95,90,38889,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Coprococcus",0.975,0.99,0.96,99,96,29898,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Dialister",0.52,0.57,0.47,57,47,4929,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Dorea",0.995,0.99,1,99,100,32530,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Eubacterium",0.98,0.98,0.98,98,98,16330,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Faecalibacterium",0.985,1,0.97,100,97,57431,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Firmicutes_unclassified",0.835,0.83,0.84,83,84,5352,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Fusicatenibacter",0.98,1,0.96,100,96,31392,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"SchirmerM_2016","Schirmer 2016",3,"balanced","Lachnospira",0.855,0.88,0.83,88,83,10156,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
